token_length,over_512,excess_tokens
458,False,0
670,True,158
566,True,54
132,False,0
195,False,0
1108,True,596
214,False,0
737,True,225
44,False,0
680,True,168
573,True,61
248,False,0
592,True,80
1723,True,1211
922,True,410
498,False,0
1282,True,770
576,True,64
126,False,0
27,False,0
518,True,6
435,False,0
559,True,47
729,True,217
8,False,0
475,False,0
328,False,0
524,True,12
398,False,0
352,False,0
272,False,0
247,False,0
110,False,0
369,False,0
593,True,81
526,True,14
783,True,271
952,True,440
627,True,115
434,False,0
308,False,0
769,True,257
908,True,396
260,False,0
843,True,331
674,True,162
413,False,0
128,False,0
492,False,0
409,False,0
106,False,0
182,False,0
608,True,96
30,False,0
340,False,0
346,False,0
569,True,57
66,False,0
395,False,0
778,True,266
1412,True,900
740,True,228
519,True,7
473,False,0
484,False,0
262,False,0
566,True,54
452,False,0
141,False,0
1506,True,994
258,False,0
40,False,0
620,True,108
268,False,0
740,True,228
404,False,0
506,False,0
303,False,0
713,True,201
918,True,406
440,False,0
114,False,0
504,False,0
535,True,23
125,False,0
184,False,0
449,False,0
928,True,416
1368,True,856
675,True,163
541,True,29
419,False,0
156,False,0
916,True,404
405,False,0
503,False,0
748,True,236
254,False,0
849,True,337
122,False,0
360,False,0
255,False,0
344,False,0
445,False,0
223,False,0
491,False,0
753,True,241
325,False,0
1053,True,541
376,False,0
230,False,0
228,False,0
369,False,0
991,True,479
533,True,21
679,True,167
435,False,0
337,False,0
636,True,124
677,True,165
767,True,255
536,True,24
486,False,0
199,False,0
21,False,0
1080,True,568
498,False,0
829,True,317
540,True,28
558,True,46
473,False,0
735,True,223
433,False,0
73,False,0
449,False,0
1528,True,1016
562,True,50
104,False,0
563,True,51
58,False,0
199,False,0
383,False,0
893,True,381
284,False,0
1115,True,603
466,False,0
123,False,0
329,False,0
591,True,79
340,False,0
406,False,0
441,False,0
72,False,0
496,False,0
620,True,108
727,True,215
204,False,0
521,True,9
517,True,5
129,False,0
175,False,0
190,False,0
892,True,380
147,False,0
715,True,203
326,False,0
531,True,19
950,True,438
121,False,0
87,False,0
657,True,145
263,False,0
54,False,0
678,True,166
342,False,0
113,False,0
19,False,0
712,True,200
396,False,0
444,False,0
451,False,0
252,False,0
403,False,0
386,False,0
317,False,0
117,False,0
599,True,87
214,False,0
251,False,0
521,True,9
34,False,0
427,False,0
114,False,0
740,True,228
564,True,52
383,False,0
289,False,0
437,False,0
244,False,0
662,True,150
740,True,228
151,False,0
728,True,216
1096,True,584
323,False,0
1069,True,557
413,False,0
482,False,0
955,True,443
380,False,0
555,True,43
609,True,97
114,False,0
414,False,0
67,False,0
502,False,0
307,False,0
491,False,0
1593,True,1081
443,False,0
278,False,0
143,False,0
430,False,0
519,True,7
95,False,0
921,True,409
304,False,0
415,False,0
436,False,0
482,False,0
111,False,0
490,False,0
216,False,0
482,False,0
889,True,377
366,False,0
780,True,268
464,False,0
835,True,323
544,True,32
455,False,0
523,True,11
149,False,0
1227,True,715
394,False,0
985,True,473
849,True,337
618,True,106
852,True,340
494,False,0
330,False,0
85,False,0
698,True,186
532,True,20
490,False,0
192,False,0
71,False,0
1150,True,638
425,False,0
397,False,0
535,True,23
416,False,0
392,False,0
466,False,0
157,False,0
1469,True,957
